repo,language,lang_type
1ucian/1ucian.github.io,Python,dynamic
BernardinD/PhotoWordFind,Dart,other
CitizensFoundation/your-priorities-app,HTML,other
DeForestt/aflat,C++,static
F2011B/ami2py,Python,dynamic
Jamesb989/Jamesb989,TypeScript,static
Kanaries/ml,TypeScript,static
Loganrdj/portfolio,JavaScript,dynamic
M45-Science/ChatWire,Go,static
MetricsHub/jawk,Java,static
MrME-CodeSmith/QuoteSwift,C#,static
Online-Ugyvitel/ddata-core,TypeScript,static
OpenHFT/Chronicle-Core,Java,static
OpenHFT/Chronicle-Logger,Java,static
OpenHFT/Chronicle-Test-Framework,Java,static
OpenHFT/Chronicle-Threads,Java,static
OpenHFT/Chronicle-Values,Java,static
OpenHFT/Chronicle-Wire,Java,static
OpenHFT/JLBH,Java,static
RadicalZephyr/bitburner-scripts,TypeScript,static
Rello/analytics,JavaScript,dynamic
TeamEver/everblock,PHP,dynamic
TeamEver/everpsblog,PHP,dynamic
Ulthran/ctbus_site,Jupyter Notebook,other
Yusukepkl/I.A-Sarah,Python,dynamic
ZumitoTeam/zumito-bot,TypeScript,static
adriandarian/Resumier,TypeScript,static
adrianwedd/personal-intelligence-node,JavaScript,dynamic
alexanderjeurissen/dotfiles,Lua,dynamic
alexanderthclark/FreeRide,Jupyter Notebook,other
anirul/Frame,C++,static
anke-hao/anke-hao.github.io,TypeScript,static
antoniojbt/episcout,R,dynamic
aoinakanishi/aoinakanishi.github.io,HTML,other
arran4/dotfiles,Go Template,other
bararchy/shainet,Crystal,other
bastelix/calserver-docu,CSS,other
bbuchsbaum/bidser,R,dynamic
bbuchsbaum/fmrireg,R,dynamic
bbuchsbaum/neurosurf,JavaScript,dynamic
bbuchsbaum/rMVPA,R,dynamic
blalterman/SolarWindPy,Python,dynamic
bozelosp/remod,Python,dynamic
braboj/tutorial-python,Python,dynamic
bradgrimm/bradgrimm.github.io,HTML,other
cjkrolak/ThermostatSupervisor,Python,dynamic
dBinet/SquirrelAttack,,unknown
dann3wman/star_trader,Python,dynamic
dcocchia/Ity,TypeScript,static
diegozea/MIToS.jl,Julia,other
edinsoncs/suni-coin,TypeScript,static
eisnerw/jhipster-sample-app-dotnetcore,TypeScript,static
grainier/siddhi,Java,static
jdereg/java-util,Java,static
jdereg/json-io,Java,static
jorgesanabria/DBAL,PHP,dynamic
jremillard/osmmapmaker,C++,static
lawrencerowland/lawrencerowland.github.io,HTML,other
lisu188/fall-of-nouraajd,C++,static
lisu188/spotify-web-api-demo,,unknown
makhin/PhotoBank,,unknown
nate-d-olson/hap.py,,unknown
noperson83/WBee-appware,,unknown
ofarukkalkan/PowerGL,,unknown
ohhmm/openmind,,unknown
pdfme/pdfme,,unknown
piotr-gorczynski/Soccer,,unknown
ravenoak/card-identifier,,unknown
rjmurillo/moq.analyzers,,unknown
rokyed/canvas-dot,,unknown
seasonedcc/remix-forms,,unknown
shefben/foxbot,,unknown
shinnku-nikaidou/shinnku-com,,unknown
spadrapo/docs,,unknown
stanford-crfm/levanter,,unknown
supermarsx/smtp-burst,,unknown
supermarsx/whoisdigger,,unknown
swiftdog2/FlashEditor,,unknown
triblespace/tribles-rust,,unknown
wieslawsoltes/Dock,,unknown
wieslawsoltes/Svg.Skia,,unknown
3b1b/manim,Python,dynamic
Anduin2017/HowToCook,Dockerfile,other
BurntSushi/ripgrep,Rust,static
Developer-Y/cs-video-courses,,unknown
PKUFlyingPig/cs-self-learning,HTML,other
WerWolv/ImHex,C++,static
base/node,Go,static
codecrafters-io/build-your-own-x,Markdown,other
dair-ai/Prompt-Engineering-Guide,MDX,other
danielmiessler/SecLists,PHP,dynamic
jgraph/drawio-desktop,JavaScript,dynamic
juliangarnier/anime,JavaScript,dynamic
labmlai/annotated_deep_learning_paper_implementations,Python,dynamic
localsend/localsend,Dart,other
lyswhut/lx-music-desktop,TypeScript,static
massgravel/Microsoft-Activation-Scripts,Batchfile,other
mtdvio/every-programmer-should-know,,unknown
ngosang/trackerslist,,unknown
pathwaycom/pathway,Python,dynamic
pocketbase/pocketbase,Go,static
realworld-apps/realworld,TypeScript,static
ryanoasis/nerd-fonts,CSS,other
swisskyrepo/PayloadsAllTheThings,Python,dynamic
ventoy/Ventoy,C,static
